Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
"lumenred-forge-face-mask-12","Lumenred Forge Face Mask","<p>Lumenred Forge Face Mask delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 190 LEDs, and roughly 40W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 190</li><li>Power: 40W</li><li>Size: One size / adjustable strap</li><li>Finish: Arctic White</li></ul>","Lumenred","Face & Masks","face-masks, 630/660/850nm, mask, skin","TRUE","Finish","Arctic White","LR-0047","2500","shopify","25","deny","manual","487.00","575.00","TRUE","TRUE","active"
"lumenred-flex-knee-wrap-1","Lumenred Flex Knee Wrap","<p>Lumenred Flex Knee Wrap delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 40 LEDs, and roughly 12W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 40</li><li>Power: 12W</li><li>Size: Knee contour fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/850nm, wrap, knee","TRUE","Finish","Matte Graphite","LR-0048","2500","shopify","25","deny","manual","129.00","155.00","TRUE","TRUE","active"
"lumenred-flex-shoulder-wrap-2","Lumenred Flex Shoulder Wrap","<p>Lumenred Flex Shoulder Wrap delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 46 LEDs, and roughly 15W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 46</li><li>Power: 15W</li><li>Size: Shoulder contour fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/850nm, wrap, shoulder","TRUE","Finish","Brushed Steel","LR-0049","2500","shopify","25","deny","manual","147.00","","TRUE","TRUE","active"
"lumenred-flex-lower-back-wrap-3","Lumenred Flex Lower Back Wrap","<p>Lumenred Flex Lower Back Wrap delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 52 LEDs, and roughly 18W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 52</li><li>Power: 18W</li><li>Size: Lower Back contour fit</li><li>Finish: Soft Black</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/810/850nm, wrap, lower back","TRUE","Finish","Soft Black","LR-0050","2500","shopify","25","deny","manual","165.00","","TRUE","TRUE","active"
"lumenred-flex-neck-wrap-4","Lumenred Flex Neck Wrap","<p>Lumenred Flex Neck Wrap delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 58 LEDs, and roughly 21W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 58</li><li>Power: 21W</li><li>Size: Neck contour fit</li><li>Finish: Arctic White</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/810/850nm, wrap, neck","TRUE","Finish","Arctic White","LR-0051","2500","shopify","25","deny","manual","183.00","220.00","TRUE","TRUE","active"
"lumenred-flex-elbow-wrap-5","Lumenred Flex Elbow Wrap","<p>Lumenred Flex Elbow Wrap delivers clinical-style red and near-infrared coverage with 660nm diodes, 64 LEDs, and roughly 24W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 64</li><li>Power: 24W</li><li>Size: Elbow contour fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660nm, wrap, elbow","TRUE","Finish","Matte Graphite","LR-0052","2500","shopify","25","deny","manual","201.00","","TRUE","TRUE","active"
"lumenred-flex-wrist-wrap-6","Lumenred Flex Wrist Wrap","<p>Lumenred Flex Wrist Wrap delivers clinical-style red and near-infrared coverage with 850nm diodes, 70 LEDs, and roughly 27W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 70</li><li>Power: 27W</li><li>Size: Wrist contour fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 850nm, wrap, wrist","TRUE","Finish","Brushed Steel","LR-0053","2500","shopify","25","deny","manual","219.00","","TRUE","TRUE","active"
"lumenred-flex-hip-wrap-7","Lumenred Flex Hip Wrap","<p>Lumenred Flex Hip Wrap delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 76 LEDs, and roughly 12W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 76</li><li>Power: 12W</li><li>Size: Hip contour fit</li><li>Finish: Soft Black</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/850nm, wrap, hip","TRUE","Finish","Soft Black","LR-0054","2500","shopify","25","deny","manual","237.00","284.00","TRUE","TRUE","active"
"lumenred-flex-calf-wrap-8","Lumenred Flex Calf Wrap","<p>Lumenred Flex Calf Wrap delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 82 LEDs, and roughly 15W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 82</li><li>Power: 15W</li><li>Size: Calf contour fit</li><li>Finish: Arctic White</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/850nm, wrap, calf","TRUE","Finish","Arctic White","LR-0055","2500","shopify","25","deny","manual","255.00","","TRUE","TRUE","active"
"lumenred-flex-foot-wrap-9","Lumenred Flex Foot Wrap","<p>Lumenred Flex Foot Wrap delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 88 LEDs, and roughly 18W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 88</li><li>Power: 18W</li><li>Size: Foot contour fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/810/850nm, wrap, foot","TRUE","Finish","Matte Graphite","LR-0056","2500","shopify","25","deny","manual","273.00","","TRUE","TRUE","active"
"lumenred-flex-abdomen-wrap-10","Lumenred Flex Abdomen Wrap","<p>Lumenred Flex Abdomen Wrap delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 94 LEDs, and roughly 21W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 94</li><li>Power: 21W</li><li>Size: Abdomen contour fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/810/850nm, wrap, abdomen","TRUE","Finish","Brushed Steel","LR-0057","2500","shopify","25","deny","manual","291.00","349.00","TRUE","TRUE","active"
"lumenred-flex-knee-wrap-11","Lumenred Flex Knee Wrap","<p>Lumenred Flex Knee Wrap delivers clinical-style red and near-infrared coverage with 660nm diodes, 100 LEDs, and roughly 24W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 100</li><li>Power: 24W</li><li>Size: Knee contour fit</li><li>Finish: Soft Black</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660nm, wrap, knee","TRUE","Finish","Soft Black","LR-0058","2500","shopify","25","deny","manual","309.00","","TRUE","TRUE","active"
"lumenred-flex-shoulder-wrap-12","Lumenred Flex Shoulder Wrap","<p>Lumenred Flex Shoulder Wrap delivers clinical-style red and near-infrared coverage with 850nm diodes, 106 LEDs, and roughly 27W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 106</li><li>Power: 27W</li><li>Size: Shoulder contour fit</li><li>Finish: Arctic White</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 850nm, wrap, shoulder","TRUE","Finish","Arctic White","LR-0059","2500","shopify","25","deny","manual","327.00","","TRUE","TRUE","active"
"lumenred-flex-lower-back-wrap-13","Lumenred Flex Lower Back Wrap","<p>Lumenred Flex Lower Back Wrap delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 112 LEDs, and roughly 12W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 112</li><li>Power: 12W</li><li>Size: Lower Back contour fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/850nm, wrap, lower back","TRUE","Finish","Matte Graphite","LR-0060","2500","shopify","25","deny","manual","345.00","414.00","TRUE","TRUE","active"
"lumenred-flex-neck-wrap-14","Lumenred Flex Neck Wrap","<p>Lumenred Flex Neck Wrap delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 118 LEDs, and roughly 15W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 118</li><li>Power: 15W</li><li>Size: Neck contour fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/850nm, wrap, neck","TRUE","Finish","Brushed Steel","LR-0061","2500","shopify","25","deny","manual","363.00","","TRUE","TRUE","active"
"lumenred-flex-elbow-wrap-15","Lumenred Flex Elbow Wrap","<p>Lumenred Flex Elbow Wrap delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 124 LEDs, and roughly 18W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 124</li><li>Power: 18W</li><li>Size: Elbow contour fit</li><li>Finish: Soft Black</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/810/850nm, wrap, elbow","TRUE","Finish","Soft Black","LR-0062","2500","shopify","25","deny","manual","381.00","","TRUE","TRUE","active"
"lumenred-flex-wrist-wrap-16","Lumenred Flex Wrist Wrap","<p>Lumenred Flex Wrist Wrap delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 130 LEDs, and roughly 21W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 130</li><li>Power: 21W</li><li>Size: Wrist contour fit</li><li>Finish: Arctic White</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/810/850nm, wrap, wrist","TRUE","Finish","Arctic White","LR-0063","2500","shopify","25","deny","manual","399.00","479.00","TRUE","TRUE","active"
"lumenred-flex-hip-wrap-17","Lumenred Flex Hip Wrap","<p>Lumenred Flex Hip Wrap delivers clinical-style red and near-infrared coverage with 660nm diodes, 136 LEDs, and roughly 24W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 136</li><li>Power: 24W</li><li>Size: Hip contour fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660nm, wrap, hip","TRUE","Finish","Matte Graphite","LR-0064","2500","shopify","25","deny","manual","417.00","","TRUE","TRUE","active"
"lumenred-flex-calf-wrap-18","Lumenred Flex Calf Wrap","<p>Lumenred Flex Calf Wrap delivers clinical-style red and near-infrared coverage with 850nm diodes, 142 LEDs, and roughly 27W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 142</li><li>Power: 27W</li><li>Size: Calf contour fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 850nm, wrap, calf","TRUE","Finish","Brushed Steel","LR-0065","2500","shopify","25","deny","manual","435.00","","TRUE","TRUE","active"
"lumenred-flex-foot-wrap-19","Lumenred Flex Foot Wrap","<p>Lumenred Flex Foot Wrap delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 148 LEDs, and roughly 12W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 148</li><li>Power: 12W</li><li>Size: Foot contour fit</li><li>Finish: Soft Black</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 660/850nm, wrap, foot","TRUE","Finish","Soft Black","LR-0066","2500","shopify","25","deny","manual","453.00","544.00","TRUE","TRUE","active"
"lumenred-flex-abdomen-wrap-20","Lumenred Flex Abdomen Wrap","<p>Lumenred Flex Abdomen Wrap delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 154 LEDs, and roughly 15W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 154</li><li>Power: 15W</li><li>Size: Abdomen contour fit</li><li>Finish: Arctic White</li></ul>","Lumenred","Targeted Wraps","targeted-wraps, 630/660/850nm, wrap, abdomen","TRUE","Finish","Arctic White","LR-0067","2500","shopify","25","deny","manual","471.00","","TRUE","TRUE","active"
"lumenred-stride-spot-wand-1","Lumenred Stride Spot Wand","<p>Lumenred Stride Spot Wand delivers clinical-style red and near-infrared coverage with 660nm diodes, 12 LEDs, and roughly 8W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 12</li><li>Power: 8W</li><li>Size: 8"" handheld</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Handheld Devices","handheld, 660nm, handheld, portable","TRUE","Finish","Matte Graphite","LR-0068","2500","shopify","25","deny","manual","99.00","","TRUE","TRUE","active"
"lumenred-nova-spot-wand-2","Lumenred Nova Spot Wand","<p>Lumenred Nova Spot Wand delivers clinical-style red and near-infrared coverage with 850nm diodes, 16 LEDs, and roughly 10W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 16</li><li>Power: 10W</li><li>Size: 8"" handheld</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Handheld Devices","handheld, 850nm, handheld, portable","TRUE","Finish","Brushed Steel","LR-0069","2500","shopify","25","deny","manual","121.00","","TRUE","TRUE","active"
"lumenred-ridge-spot-wand-3","Lumenred Ridge Spot Wand","<p>Lumenred Ridge Spot Wand delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 20 LEDs, and roughly 12W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 20</li><li>Power: 12W</li><li>Size: 8"" handheld</li><li>Finish: Soft Black</li></ul>","Lumenred","Handheld Devices","handheld, 660/850nm, handheld, portable","TRUE","Finish","Soft Black","LR-0070","2500","shopify","25","deny","manual","143.00","","TRUE","TRUE","active"
"lumenred-solace-spot-wand-4","Lumenred Solace Spot Wand","<p>Lumenred Solace Spot Wand delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 24 LEDs, and roughly 14W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 24</li><li>Power: 14W</li><li>Size: 8"" handheld</li><li>Finish: Arctic White</li></ul>","Lumenred","Handheld Devices","handheld, 630/660/850nm, handheld, portable","TRUE","Finish","Arctic White","LR-0071","2500","shopify","25","deny","manual","165.00","","TRUE","TRUE","active"
"lumenred-axiom-spot-wand-5","Lumenred Axiom Spot Wand","<p>Lumenred Axiom Spot Wand delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 28 LEDs, and roughly 16W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 28</li><li>Power: 16W</li><li>Size: 8"" handheld</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Handheld Devices","handheld, 660/810/850nm, handheld, portable","TRUE","Finish","Matte Graphite","LR-0072","2500","shopify","25","deny","manual","187.00","","TRUE","TRUE","active"
"lumenred-ember-spot-wand-6","Lumenred Ember Spot Wand","<p>Lumenred Ember Spot Wand delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 32 LEDs, and roughly 18W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 32</li><li>Power: 18W</li><li>Size: 8"" handheld</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Handheld Devices","handheld, 630/660/810/850nm, handheld, portable","TRUE","Finish","Brushed Steel","LR-0073","2500","shopify","25","deny","manual","209.00","","TRUE","TRUE","active"
"lumenred-lattice-spot-wand-7","Lumenred Lattice Spot Wand","<p>Lumenred Lattice Spot Wand delivers clinical-style red and near-infrared coverage with 660nm diodes, 36 LEDs, and roughly 20W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 36</li><li>Power: 20W</li><li>Size: 8"" handheld</li><li>Finish: Soft Black</li></ul>","Lumenred","Handheld Devices","handheld, 660nm, handheld, portable","TRUE","Finish","Soft Black","LR-0074","2500","shopify","25","deny","manual","231.00","","TRUE","TRUE","active"
"lumenred-forge-spot-wand-8","Lumenred Forge Spot Wand","<p>Lumenred Forge Spot Wand delivers clinical-style red and near-infrared coverage with 850nm diodes, 40 LEDs, and roughly 22W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 40</li><li>Power: 22W</li><li>Size: 8"" handheld</li><li>Finish: Arctic White</li></ul>","Lumenred","Handheld Devices","handheld, 850nm, handheld, portable","TRUE","Finish","Arctic White","LR-0075","2500","shopify","25","deny","manual","253.00","","TRUE","TRUE","active"
"lumenred-pulse-spot-wand-9","Lumenred Pulse Spot Wand","<p>Lumenred Pulse Spot Wand delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 44 LEDs, and roughly 24W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 44</li><li>Power: 24W</li><li>Size: 8"" handheld</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Handheld Devices","handheld, 660/850nm, handheld, portable","TRUE","Finish","Matte Graphite","LR-0076","2500","shopify","25","deny","manual","275.00","","TRUE","TRUE","active"
"lumenred-aura-spot-wand-10","Lumenred Aura Spot Wand","<p>Lumenred Aura Spot Wand delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 48 LEDs, and roughly 26W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 48</li><li>Power: 26W</li><li>Size: 8"" handheld</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Handheld Devices","handheld, 630/660/850nm, handheld, portable","TRUE","Finish","Brushed Steel","LR-0077","2500","shopify","25","deny","manual","297.00","","TRUE","TRUE","active"
"lumenred-vertex-spot-wand-11","Lumenred Vertex Spot Wand","<p>Lumenred Vertex Spot Wand delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 52 LEDs, and roughly 28W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 52</li><li>Power: 28W</li><li>Size: 8"" handheld</li><li>Finish: Soft Black</li></ul>","Lumenred","Handheld Devices","handheld, 660/810/850nm, handheld, portable","TRUE","Finish","Soft Black","LR-0078","2500","shopify","25","deny","manual","319.00","","TRUE","TRUE","active"
"lumenred-halo-spot-wand-12","Lumenred Halo Spot Wand","<p>Lumenred Halo Spot Wand delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 56 LEDs, and roughly 30W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 56</li><li>Power: 30W</li><li>Size: 8"" handheld</li><li>Finish: Arctic White</li></ul>","Lumenred","Handheld Devices","handheld, 630/660/810/850nm, handheld, portable","TRUE","Finish","Arctic White","LR-0079","2500","shopify","25","deny","manual","341.00","","TRUE","TRUE","active"
"lumenred-aura-recovery-bed-1","Lumenred Aura Recovery Bed 1","<p>Lumenred Aura Recovery Bed 1 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 2000 LEDs, and roughly 800W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 2000</li><li>Power: 800W</li><li>Size: 72"" canopy system</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Matte Graphite","LR-0080","2500","shopify","25","deny","manual","4999.00","5399.00","TRUE","TRUE","active"
"lumenred-vertex-recovery-bed-2","Lumenred Vertex Recovery Bed 2","<p>Lumenred Vertex Recovery Bed 2 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 2250 LEDs, and roughly 920W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 2250</li><li>Power: 920W</li><li>Size: 73"" canopy system</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Brushed Steel","LR-0081","2500","shopify","25","deny","manual","5849.00","6317.00","TRUE","TRUE","active"
"lumenred-halo-recovery-bed-3","Lumenred Halo Recovery Bed 3","<p>Lumenred Halo Recovery Bed 3 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 2500 LEDs, and roughly 1040W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 2500</li><li>Power: 1040W</li><li>Size: 74"" canopy system</li><li>Finish: Soft Black</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Soft Black","LR-0082","2500","shopify","25","deny","manual","6699.00","7235.00","TRUE","TRUE","active"
"lumenred-stride-recovery-bed-4","Lumenred Stride Recovery Bed 4","<p>Lumenred Stride Recovery Bed 4 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 2750 LEDs, and roughly 1160W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 2750</li><li>Power: 1160W</li><li>Size: 75"" canopy system</li><li>Finish: Arctic White</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Arctic White","LR-0083","2500","shopify","25","deny","manual","7549.00","8153.00","TRUE","TRUE","active"
"lumenred-nova-recovery-bed-5","Lumenred Nova Recovery Bed 5","<p>Lumenred Nova Recovery Bed 5 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 3000 LEDs, and roughly 1280W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 3000</li><li>Power: 1280W</li><li>Size: 76"" canopy system</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Matte Graphite","LR-0084","2500","shopify","25","deny","manual","8399.00","9071.00","TRUE","TRUE","active"
"lumenred-ridge-recovery-bed-6","Lumenred Ridge Recovery Bed 6","<p>Lumenred Ridge Recovery Bed 6 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 3250 LEDs, and roughly 1400W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 3250</li><li>Power: 1400W</li><li>Size: 77"" canopy system</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Brushed Steel","LR-0085","2500","shopify","25","deny","manual","9249.00","9989.00","TRUE","TRUE","active"
"lumenred-solace-recovery-bed-7","Lumenred Solace Recovery Bed 7","<p>Lumenred Solace Recovery Bed 7 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 3500 LEDs, and roughly 1520W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 3500</li><li>Power: 1520W</li><li>Size: 78"" canopy system</li><li>Finish: Soft Black</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Soft Black","LR-0086","2500","shopify","25","deny","manual","10099.00","10907.00","TRUE","TRUE","active"
"lumenred-axiom-recovery-bed-8","Lumenred Axiom Recovery Bed 8","<p>Lumenred Axiom Recovery Bed 8 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 3750 LEDs, and roughly 1640W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 3750</li><li>Power: 1640W</li><li>Size: 79"" canopy system</li><li>Finish: Arctic White</li></ul>","Lumenred","Beds & Systems","beds-systems, 630/660/810/850nm, bed, studio, pro","TRUE","Finish","Arctic White","LR-0087","2500","shopify","25","deny","manual","10949.00","11825.00","TRUE","TRUE","active"
"lumenred-rolling-stand-1","Lumenred Rolling Stand","<p>Lumenred Rolling Stand delivers clinical-style red and near-infrared coverage with — diodes, 0 LEDs, and roughly 0W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: —</li><li>LEDs: 0</li><li>Power: 0W</li><li>Size: Universal fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Accessories","accessories, —, accessory, accessory-stand","TRUE","Finish","Matte Graphite","LR-0088","2500","shopify","25","deny","manual","189.00","","TRUE","TRUE","active"
"lumenred-wall-mount-kit-2","Lumenred Wall Mount Kit","<p>Lumenred Wall Mount Kit delivers clinical-style red and near-infrared coverage with — diodes, 0 LEDs, and roughly 0W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: —</li><li>LEDs: 0</li><li>Power: 0W</li><li>Size: Universal fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Accessories","accessories, —, accessory, accessory-mount","TRUE","Finish","Brushed Steel","LR-0089","2500","shopify","25","deny","manual","79.00","","TRUE","TRUE","active"
"lumenred-protective-goggles-3","Lumenred Protective Goggles","<p>Lumenred Protective Goggles delivers clinical-style red and near-infrared coverage with — diodes, 0 LEDs, and roughly 0W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: —</li><li>LEDs: 0</li><li>Power: 0W</li><li>Size: Universal fit</li><li>Finish: Soft Black</li></ul>","Lumenred","Accessories","accessories, —, accessory, accessory-goggles","TRUE","Finish","Soft Black","LR-0090","2500","shopify","25","deny","manual","29.00","","TRUE","TRUE","active"
"lumenred-door-hook-mount-4","Lumenred Door Hook Mount","<p>Lumenred Door Hook Mount delivers clinical-style red and near-infrared coverage with — diodes, 0 LEDs, and roughly 0W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: —</li><li>LEDs: 0</li><li>Power: 0W</li><li>Size: Universal fit</li><li>Finish: Arctic White</li></ul>","Lumenred","Accessories","accessories, —, accessory, accessory-hook","TRUE","Finish","Arctic White","LR-0091","2500","shopify","25","deny","manual","49.00","","TRUE","TRUE","active"
"lumenred-session-timer-remote-5","Lumenred Session Timer Remote","<p>Lumenred Session Timer Remote delivers clinical-style red and near-infrared coverage with — diodes, 0 LEDs, and roughly 0W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: —</li><li>LEDs: 0</li><li>Power: 0W</li><li>Size: Universal fit</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Accessories","accessories, —, accessory, accessory-remote","TRUE","Finish","Matte Graphite","LR-0092","2500","shopify","25","deny","manual","59.00","","TRUE","TRUE","active"
"lumenred-travel-case-6","Lumenred Travel Case","<p>Lumenred Travel Case delivers clinical-style red and near-infrared coverage with — diodes, 0 LEDs, and roughly 0W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: —</li><li>LEDs: 0</li><li>Power: 0W</li><li>Size: Universal fit</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Accessories","accessories, —, accessory, accessory-case","TRUE","Finish","Brushed Steel","LR-0093","2500","shopify","25","deny","manual","119.00","","TRUE","TRUE","active"
